name,price,location,station,area,plan,balcony,build,regist,hashdata,kanrihi,shuuzen,kaisu,soukosu,goukei
【リノベーション向き物件登場♪】ツインシティ東砂アネックス,2680万円,東京都江東区東砂８,東京メトロ東西線「南砂町」歩12分,58.3m,3DK,バルコニー面積：7.28m,1987年11月,2023/01/04 18:41,df64a6f41063a5b6ed338d3369be84d14350c535b145c45f541f7eb7e482917c,5500円／月（委託(通勤)）,1万950円／月,8階,168戸,16450
キャニオングランデ新高島平,2699万円,東京都板橋区新河岸３-4-12,都営三田線「新高島平」歩11分,54.45m,2LDK+S（納戸）,バルコニー面積：13.2m,1995年6月,2023/01/04 18:41,a283502e65e80748c8155db9aa6fb53ff3ca5905dde87ae35e496baa47f13301,1万9140円／月（委託(巡回)）,1万1130円／月,1階,-,30270
日商岩井小島町マンション,2780万円,東京都江戸川区西葛西６-28-20,東京メトロ東西線「西葛西」歩8分,60.5m,3DK,バルコニー面積：6.6m,1975年9月,2023/01/04 18:41,fd95298780e3d667209838df02e697587e1aa0935b21247be084af3e682de066,9300円／月（委託(通勤)）,8500円／月,6階,168戸,17800
ルミネ西六郷,3280万円,東京都大田区西六郷４-9-1,京急本線「六郷土手」歩4分,63.67m,2LDK,バルコニー面積：6.24m,1984年7月,2023/01/04 18:41,606fc5a34afb6aa5c64499a61b75b576ea04c0d091ee240ffe043093fac5ac6a,1万4300円／月（委託(巡回)）,1万8270円／月,1階,22戸,32570
西葛西スカイハイツ,3290万円,東京都江戸川区西葛西４-2-47,東京メトロ東西線「西葛西」歩8分,53.53m,2LDK,バルコニー面積：8.4m,1978年12月,2023/01/04 18:41,2c40c7fe0476fec3bd84a698529fd453c4cf8ae87bc6b6fda5f848ccfad7c85f,7990円／月（委託(通勤)）,1万1010円／月,3階,122戸,19000
板橋本町アーバンライフ,3380万円,東京都板橋区本町,都営三田線「板橋本町」歩1分,53.1m,2LDK,バルコニー面積：6.48m,1981年5月,2023/01/04 18:41,ceb9cf90556904bc8c69000b7046858eb7351805af2f8fdb21afebb94d17ce31,1万4100円／月（委託(巡回)）,1万6050円／月,3階,32戸,30150
本蓮沼ビューハイツ,3396万円,東京都北区赤羽西６-12-1,都営三田線「本蓮沼」歩10分,62m,2LDK+S（納戸）,バルコニー面積：6.72m,1982年11月,2023/01/04 18:41,5f27ca9d2145e1d7cc59d33fc4bddbcdaf9ba85dc38f429a002d79b9dbec55fa,1万850円／月（委託(通勤)）,1万3020円／月,3階,41戸,23870
スカーラ板橋,3480万円,東京都板橋区大谷口北町32-3,東京メトロ有楽町線「小竹向原」歩12分,55.96m,3LDK,バルコニー面積：6.19m,1998年1月,2023/01/04 18:42,6ad497d2867cf2b15582f877973a6f5e49d700bd933aeae0fc7422afe1f6df84,3万5500円／月（委託(通勤)）,無,3階,-,35500
ネオコーポ西大島,3480万円,東京都江東区北砂２-15-35,都営新宿線「西大島」歩10分,51.72m,1LDK+S（納戸）,バルコニー面積：6.6m,1984年3月,2023/01/04 18:42,14abcfeb20a01a991e357d77a249adde08aeede4786194a8dc935e2bab2134e2,9410円／月（委託(通勤)）,1万560円／月,1階,71戸,19970
パラスト芦花公園,3490万円,東京都世田谷区粕谷２,京王線「八幡山」歩10分,50.4m,1LDK+S（納戸）,バルコニー面積：7.16m,1977年7月,2023/01/04 18:42,20e2a38a60eb1fbd9dd45e5c93823341efd0b8f4bd8cc89d1fd66bc6253a0c39,1万100円／月（委託(常駐)）,7600円／月,8階,92戸,17700
